省级行政区,个数,地级行政区,县级行政区,景点名称,批次（按公布时间）
,,乐山市,峨眉山市,峨眉山景区,2007/05/08[7]
,,,市中区,乐山大佛景区,2011/7/6
,,阿坝藏族羌族自治州,九寨沟县,九寨沟旅游景区,2007/05/08[7]
,,,松潘县,黄龙景区,2012/1/9
,,,汶川县,汶川特别旅游区,2013/5/4
,,,小金县,四姑娘山景区,2024/2/6
,,南充市,阆中市,阆中古城旅游景区,2013/10/11
,,,仪陇县,仪陇朱德故里景区,2016/11/4
,,绵阳市,北川羌族自治县,北川羌城旅游区,2013/5/4
,,广安市,广安区,邓小平故里旅游区,2013/10/11
,,广元市,剑阁县,剑门蜀道剑门关旅游区,2015/7/13
,,甘孜藏族自治州,泸定县,海螺沟景区,2017/2/25
,,,稻城县,稻城亚丁旅游景区,2020/12/29
,,雅安市,雨城区,碧峰峡旅游景区,2020/01/07[8]
,,巴中市,南江县,光雾山旅游景区,2020/12/29
贵州省,10,安顺市,镇宁布依族苗族自治县,黄果树大瀑布景区,2007/05/08[7]
,,,西秀区,龙宫景区,2007/05/08[7]
,,毕节市,大方县,百里杜鹃景区,2013/10/11
,,,织金县,织金洞景区,2022/7/15
,,黔南布依族苗族自治州,荔波县,荔波樟江景区,2015/7/13
,,贵阳市,花溪区,青岩古镇景区,2017/2/25
,,铜仁市,江口县,梵净山旅游区,2018/10/29
,,黔东南苗族侗族自治州,镇远县,镇远古城旅游景区,2020/01/07[8]
,,遵义市,赤水市,赤水丹霞旅游区,2020/12/29
,,黔西南布依族苗族自治州,兴义市,万峰林景区,2024/12/27
云南省,10,昆明市,石林彝族自治县,石林风景区,2007/05/08[7]
,,,盘龙区,昆明世博园景区,2016/8/3
,,丽江市,玉龙纳西族自治县,玉龙雪山景区,2007/05/08[7]
,,,古城区,丽江古城景区,2011/7/6
,,大理白族自治州,大理市,崇圣寺三塔文化旅游区,2011/7/6
,,西双版纳傣族自治州,勐腊县,中国科学院西双版纳热带植物园,2011/7/6
,,迪庆藏族自治州,香格里拉市,香格里拉普达措景区,2012/11/6
,,保山市,腾冲市,腾冲火山热海旅游区,2016/8/3
,,,,和顺古镇景区,2024/2/6
,,文山壮族苗族自治州,丘北县,普者黑旅游景区,2020/12/29
西藏自治区,5,拉萨市,城关区,布达拉宫景区,2013/1/14
,,,,大昭寺,2013/10/11
,,林芝市,工布江达县,巴松措景区,2017/8/29
,,,米林县,雅鲁藏布大峡谷旅游景区,2020/11/9
,,日喀则市,桑珠孜区,扎什伦布寺景区,2017/8/29
陕西省,14,西安市,临潼区,秦始皇兵马俑博物馆,2007/05/08[7]
,,,,华清池景区,2007/05/08[7]
